year,state,gender,statistic,gross_income_euros
2014,nationwide,male,90th_percentile,45259.58
2013,nationwide,male,90th_percentile,45516.2
2012,nationwide,male,90th_percentile,45494.89
2011,nationwide,male,90th_percentile,44848.03
2010,nationwide,male,90th_percentile,44725.21
2009,nationwide,male,90th_percentile,43406.27
2008,nationwide,male,90th_percentile,41792.77
2017,Andalucía,both,mean,21404.28
2016,Andalucía,both,mean,21268.41
2015,Andalucía,both,mean,21381.03
2014,Andalucía,both,mean,20840.3
2013,Andalucía,both,mean,20782.03
2012,Andalucía,both,mean,20891.63
2011,Andalucía,both,mean,21350.98
2010,Andalucía,both,mean,20964.36
2009,Andalucía,both,mean,20906.33
2008,Andalucía,both,mean,20138.56
2017,Andalucía,both,10th_percentile,7836.76
2016,Andalucía,both,10th_percentile,7427.89
2015,Andalucía,both,10th_percentile,7438.69
2014,Andalucía,both,10th_percentile,6741.52
2013,Andalucía,both,10th_percentile,7066.88
2012,Andalucía,both,10th_percentile,7393.08
2011,Andalucía,both,10th_percentile,7440.95
2010,Andalucía,both,10th_percentile,7418.63
2009,Andalucía,both,10th_percentile,7757.16
2008,Andalucía,both,10th_percentile,8153.42
2017,Andalucía,both,lower_quartile,12735.0
2016,Andalucía,both,lower_quartile,12212.29
2015,Andalucía,both,lower_quartile,12454.33
2014,Andalucía,both,lower_quartile,11937.48
2013,Andalucía,both,lower_quartile,12012.54
2012,Andalucía,both,lower_quartile,12321.3
2011,Andalucía,both,lower_quartile,12510.79
2010,Andalucía,both,lower_quartile,12556.13
2009,Andalucía,both,lower_quartile,12816.46
2008,Andalucía,both,lower_quartile,12906.0
2017,Andalucía,both,median,18251.94
2016,Andalucía,both,median,18051.91
2015,Andalucía,both,median,18101.7
2014,Andalucía,both,median,18034.03
2013,Andalucía,both,median,17722.42
2012,Andalucía,both,median,17910.11
2011,Andalucía,both,median,18193.56
2010,Andalucía,both,median,17565.81
2009,Andalucía,both,median,17866.08
2008,Andalucía,both,median,17371.95
2017,Andalucía,both,upper_quartile,26668.08
2016,Andalucía,both,upper_quartile,26862.33
2015,Andalucía,both,upper_quartile,27048.58
2014,Andalucía,both,upper_quartile,26129.25
2013,Andalucía,both,upper_quartile,26357.12
2012,Andalucía,both,upper_quartile,25948.92
2011,Andalucía,both,upper_quartile,26681.9
2010,Andalucía,both,upper_quartile,25569.75
2009,Andalucía,both,upper_quartile,26036.43
2008,Andalucía,both,upper_quartile,24537.31
2017,Andalucía,both,90th_percentile,38260.58
2016,Andalucía,both,90th_percentile,38731.32
2015,Andalucía,both,90th_percentile,39121.07
2014,Andalucía,both,90th_percentile,37835.52
2013,Andalucía,both,90th_percentile,38061.86
2012,Andalucía,both,90th_percentile,37291.48
2011,Andalucía,both,90th_percentile,38761.2
2010,Andalucía,both,90th_percentile,38447.0
2009,Andalucía,both,90th_percentile,37655.42
2008,Andalucía,both,90th_percentile,35105.72
2017,Andalucía,female,mean,18287.29
2016,Andalucía,female,mean,18177.37
2015,Andalucía,female,mean,18340.96
2014,Andalucía,female,mean,17576.13
2013,Andalucía,female,mean,17690.19
2012,Andalucía,female,mean,17828.44
2011,Andalucía,female,mean,18389.21
2010,Andalucía,female,mean,17921.33
2009,Andalucía,female,mean,18371.23
2008,Andalucía,female,mean,17298.33
2017,Andalucía,female,10th_percentile,6598.44
2016,Andalucía,female,10th_percentile,6077.43
2015,Andalucía,female,10th_percentile,6117.82
2014,Andalucía,female,10th_percentile,5014.88
2013,Andalucía,female,10th_percentile,5975.64
2012,Andalucía,female,10th_percentile,6335.14
2011,Andalucía,female,10th_percentile,6168.16
2010,Andalucía,female,10th_percentile,6184.5
2009,Andalucía,female,10th_percentile,6261.59
2008,Andalucía,female,10th_percentile,6275.09
2017,Andalucía,female,lower_quartile,9907.8
2016,Andalucía,female,lower_quartile,9826.35
2015,Andalucía,female,lower_quartile,9714.12
2014,Andalucía,female,lower_quartile,9096.52
2013,Andalucía,female,lower_quartile,9184.41
2012,Andalucía,female,lower_quartile,9926.27
2011,Andalucía,female,lower_quartile,9858.12
2010,Andalucía,female,lower_quartile,9967.4
2009,Andalucía,female,lower_quartile,10054.28
2008,Andalucía,female,lower_quartile,9859.25
2017,Andalucía,female,median,15368.02
2016,Andalucía,female,median,15203.96
2015,Andalucía,female,median,15295.34
2014,Andalucía,female,median,15044.26
2013,Andalucía,female,median,15029.15
2012,Andalucía,female,median,15480.07
2011,Andalucía,female,median,15578.41
2010,Andalucía,female,median,14845.01
2009,Andalucía,female,median,15963.82
2008,Andalucía,female,median,15137.4
2017,Andalucía,female,upper_quartile,23772.43
2016,Andalucía,female,upper_quartile,23822.52
2015,Andalucía,female,upper_quartile,23679.6
2014,Andalucía,female,upper_quartile,23211.41
2013,Andalucía,female,upper_quartile,23188.65
2012,Andalucía,female,upper_quartile,22931.4
2011,Andalucía,female,upper_quartile,23973.22
2010,Andalucía,female,upper_quartile,22617.39
2009,Andalucía,female,upper_quartile,23749.28
2008,Andalucía,female,upper_quartile,22198.09
2017,Andalucía,female,90th_percentile,33912.39
2016,Andalucía,female,90th_percentile,34205.84
2015,Andalucía,female,90th_percentile,34389.77
2014,Andalucía,female,90th_percentile,33157.75
2013,Andalucía,female,90th_percentile,32818.67
2012,Andalucía,female,90th_percentile,32126.78
2011,Andalucía,female,90th_percentile,34038.22
2010,Andalucía,female,90th_percentile,33623.63
2009,Andalucía,female,90th_percentile,33967.87
2008,Andalucía,female,90th_percentile,31190.72
2017,Andalucía,male,mean,24175.52
2016,Andalucía,male,mean,24026.82
2015,Andalucía,male,mean,24200.2
2014,Andalucía,male,mean,23541.32
2013,Andalucía,male,mean,23565.36
2012,Andalucía,male,mean,23592.08
2011,Andalucía,male,mean,23815.22
2010,Andalucía,male,mean,23463.96
2009,Andalucía,male,mean,22908.86
2008,Andalucía,male,mean,22108.57
2017,Andalucía,male,10th_percentile,10159.35
2016,Andalucía,male,10th_percentile,9284.7
2015,Andalucía,male,10th_percentile,10031.36
2014,Andalucía,male,10th_percentile,9586.66
2013,Andalucía,male,10th_percentile,9072.66
2012,Andalucía,male,10th_percentile,9700.1
2011,Andalucía,male,10th_percentile,10277.09
2010,Andalucía,male,10th_percentile,10422.08
2009,Andalucía,male,10th_percentile,10694.53
2008,Andalucía,male,10th_percentile,11451.4
2017,Andalucía,male,lower_quartile,15680.56
2016,Andalucía,male,lower_quartile,15009.04
2015,Andalucía,male,lower_quartile,15183.2
2014,Andalucía,male,lower_quartile,15002.84
2013,Andalucía,male,lower_quartile,14737.2
2012,Andalucía,male,lower_quartile,14833.65
2011,Andalucía,male,lower_quartile,14839.16
2010,Andalucía,male,lower_quartile,15000.28
2009,Andalucía,male,lower_quartile,14880.34
2008,Andalucía,male,lower_quartile,14757.95
2017,Andalucía,male,median,20410.32
2016,Andalucía,male,median,20168.27
2015,Andalucía,male,median,20109.36
2014,Andalucía,male,median,19774.52
2013,Andalucía,male,median,19750.02
2012,Andalucía,male,median,19733.29
2011,Andalucía,male,median,19772.01
2010,Andalucía,male,median,19328.83
2009,Andalucía,male,median,19125.41
2008,Andalucía,male,median,18513.57
2017,Andalucía,male,upper_quartile,29443.23
2016,Andalucía,male,upper_quartile,29660.56
2015,Andalucía,male,upper_quartile,30000.12
2014,Andalucía,male,upper_quartile,28752.86
2013,Andalucía,male,upper_quartile,29387.21
2012,Andalucía,male,upper_quartile,28777.49
2011,Andalucía,male,upper_quartile,29326.05
2010,Andalucía,male,upper_quartile,28035.21
2009,Andalucía,male,upper_quartile,28186.49
2008,Andalucía,male,upper_quartile,26005.41
2017,Andalucía,male,90th_percentile,41715.76
2016,Andalucía,male,90th_percentile,42694.13
2015,Andalucía,male,90th_percentile,43035.61
2014,Andalucía,male,90th_percentile,41329.03
2013,Andalucía,male,90th_percentile,42283.86
2012,Andalucía,male,90th_percentile,41464.59
2011,Andalucía,male,90th_percentile,42039.1
2010,Andalucía,male,90th_percentile,41776.86
2009,Andalucía,male,90th_percentile,39934.18
2008,Andalucía,male,90th_percentile,37702.09
2017,Aragón,both,mean,23039.94
2016,Aragón,both,mean,22248.76
2015,Aragón,both,mean,22327.18
2014,Aragón,both,mean,22095.79
2013,Aragón,both,mean,22054.85
2012,Aragón,both,mean,22103.79
2011,Aragón,both,mean,22333.53
2010,Aragón,both,mean,22316.69
2009,Aragón,both,mean,22133.77
2008,Aragón,both,mean,21594.47
2017,Aragón,both,10th_percentile,9082.3
2016,Aragón,both,10th_percentile,7896.6
2015,Aragón,both,10th_percentile,7875.69
2014,Aragón,both,10th_percentile,7799.43
2013,Aragón,both,10th_percentile,7735.35
2012,Aragón,both,10th_percentile,8216.38
2011,Aragón,both,10th_percentile,8863.66
2010,Aragón,both,10th_percentile,8683.56
2009,Aragón,both,10th_percentile,8641.36
2008,Aragón,both,10th_percentile,9051.37
2017,Aragón,both,lower_quartile,14438.76
2016,Aragón,both,lower_quartile,13664.48
2015,Aragón,both,lower_quartile,13424.35
2014,Aragón,both,lower_quartile,13853.64
2013,Aragón,both,lower_quartile,13415.54
2012,Aragón,both,lower_quartile,13688.48
2011,Aragón,both,lower_quartile,14044.52
2010,Aragón,both,lower_quartile,14176.97
2009,Aragón,both,lower_quartile,14051.02
2008,Aragón,both,lower_quartile,13875.48
2017,Aragón,both,median,20198.39
2016,Aragón,both,median,19417.81
2015,Aragón,both,median,19589.29
2014,Aragón,both,median,19539.86
2013,Aragón,both,median,19094.86
2012,Aragón,both,median,19094.81
2011,Aragón,both,median,19646.75
2010,Aragón,both,median,19552.41
2009,Aragón,both,median,19413.22
2008,Aragón,both,median,19084.91
2017,Aragón,both,upper_quartile,28708.75
2016,Aragón,both,upper_quartile,27990.4
2015,Aragón,both,upper_quartile,28144.48
2014,Aragón,both,upper_quartile,27934.08
2013,Aragón,both,upper_quartile,27796.12
2012,Aragón,both,upper_quartile,27034.53
2011,Aragón,both,upper_quartile,27779.87
2010,Aragón,both,upper_quartile,27478.9
2009,Aragón,both,upper_quartile,27052.27
2008,Aragón,both,upper_quartile,26580.39
2017,Aragón,both,90th_percentile,39100.8
2016,Aragón,both,90th_percentile,38305.12
2015,Aragón,both,90th_percentile,39085.72
2014,Aragón,both,90th_percentile,37273.45
2013,Aragón,both,90th_percentile,38702.21
2012,Aragón,both,90th_percentile,38756.84
2011,Aragón,both,90th_percentile,38723.33
2010,Aragón,both,90th_percentile,39028.27
2009,Aragón,both,90th_percentile,38392.52
2008,Aragón,both,90th_percentile,36579.8
2017,Aragón,female,mean,19677.22
2016,Aragón,female,mean,18766.21
2015,Aragón,female,mean,18950.17
2014,Aragón,female,mean,18764.63
2013,Aragón,female,mean,18701.61
2012,Aragón,female,mean,18042.28
2011,Aragón,female,mean,18831.38
2010,Aragón,female,mean,18843.25
2009,Aragón,female,mean,18861.82
2008,Aragón,female,mean,17843.46
2017,Aragón,female,10th_percentile,7213.48
2016,Aragón,female,10th_percentile,6228.7
2015,Aragón,female,10th_percentile,6173.3
2014,Aragón,female,10th_percentile,6514.38
2013,Aragón,female,10th_percentile,6535.3
2012,Aragón,female,10th_percentile,6610.91
2011,Aragón,female,10th_percentile,7418.93
2010,Aragón,female,10th_percentile,7200.0
2009,Aragón,female,10th_percentile,7114.8
2008,Aragón,female,10th_percentile,7210.5
2017,Aragón,female,lower_quartile,11626.11
2016,Aragón,female,lower_quartile,10237.79
2015,Aragón,female,lower_quartile,10444.87
2014,Aragón,female,lower_quartile,11000.39
2013,Aragón,female,lower_quartile,10941.54
2012,Aragón,female,lower_quartile,10549.6
2011,Aragón,female,lower_quartile,11502.38
2010,Aragón,female,lower_quartile,11586.66
2009,Aragón,female,lower_quartile,11323.32
2008,Aragón,female,lower_quartile,11113.81
2017,Aragón,female,median,16812.83
2016,Aragón,female,median,16411.68
2015,Aragón,female,median,16324.07
2014,Aragón,female,median,16691.51
2013,Aragón,female,median,16160.06
2012,Aragón,female,median,15734.04
2011,Aragón,female,median,16206.05
2010,Aragón,female,median,16412.07
2009,Aragón,female,median,15878.02
2008,Aragón,female,median,15608.17
2017,Aragón,female,upper_quartile,24684.39
2016,Aragón,female,upper_quartile,24084.48
2015,Aragón,female,upper_quartile,24153.85
2014,Aragón,female,upper_quartile,23716.65
2013,Aragón,female,upper_quartile,23165.29
2012,Aragón,female,upper_quartile,22199.5
2011,Aragón,female,upper_quartile,23769.33
2010,Aragón,female,upper_quartile,23033.22
2009,Aragón,female,upper_quartile,22993.08
2008,Aragón,female,upper_quartile,21890.54
2017,Aragón,female,90th_percentile,34703.34
2016,Aragón,female,90th_percentile,34140.98
2015,Aragón,female,90th_percentile,34653.38
2014,Aragón,female,90th_percentile,33023.2
2013,Aragón,female,90th_percentile,33057.69
2012,Aragón,female,90th_percentile,32332.65
2011,Aragón,female,90th_percentile,33769.21
2010,Aragón,female,90th_percentile,33031.69
2009,Aragón,female,90th_percentile,34221.74
2008,Aragón,female,90th_percentile,32080.91
2017,Aragón,male,mean,25878.46
2016,Aragón,male,mean,25326.91
2015,Aragón,male,mean,25555.56
2014,Aragón,male,mean,25118.61
2013,Aragón,male,mean,25128.91
2012,Aragón,male,mean,25766.27
2011,Aragón,male,mean,25258.68
2010,Aragón,male,mean,25263.29
2009,Aragón,male,mean,24787.81
2008,Aragón,male,mean,24272.36
2017,Aragón,male,10th_percentile,12523.16
2016,Aragón,male,10th_percentile,11973.96
2015,Aragón,male,10th_percentile,11948.41
2014,Aragón,male,10th_percentile,10600.79
2013,Aragón,male,10th_percentile,10164.88
2012,Aragón,male,10th_percentile,12249.0
2011,Aragón,male,10th_percentile,11974.6
2010,Aragón,male,10th_percentile,11972.3
2009,Aragón,male,10th_percentile,12760.34
2008,Aragón,male,10th_percentile,12420.56
2017,Aragón,male,lower_quartile,17363.47
2016,Aragón,male,lower_quartile,16733.12
2015,Aragón,male,lower_quartile,16666.19
2014,Aragón,male,lower_quartile,16721.02
2013,Aragón,male,lower_quartile,15883.32
2012,Aragón,male,lower_quartile,16765.53
2011,Aragón,male,lower_quartile,16616.19
2010,Aragón,male,lower_quartile,16806.8
2009,Aragón,male,lower_quartile,16667.1
2008,Aragón,male,lower_quartile,16449.72
2017,Aragón,male,median,22790.36
2016,Aragón,male,median,22380.02
2015,Aragón,male,median,22452.41
2014,Aragón,male,median,22364.62
2013,Aragón,male,median,22275.4
2012,Aragón,male,median,22231.84
2011,Aragón,male,median,22542.61
2010,Aragón,male,median,22129.41
2009,Aragón,male,median,21989.38
2008,Aragón,male,median,21551.6
2017,Aragón,male,upper_quartile,31121.85
2016,Aragón,male,upper_quartile,30722.39
2015,Aragón,male,upper_quartile,30821.58
2014,Aragón,male,upper_quartile,30385.38
2013,Aragón,male,upper_quartile,31144.04
2012,Aragón,male,upper_quartile,30744.34
2011,Aragón,male,upper_quartile,30535.09
2010,Aragón,male,upper_quartile,30260.95
2009,Aragón,male,upper_quartile,30147.1
2008,Aragón,male,upper_quartile,29441.16
2017,Aragón,male,90th_percentile,42272.44
2016,Aragón,male,90th_percentile,42235.64
2015,Aragón,male,90th_percentile,42874.15
2014,Aragón,male,90th_percentile,41393.47
2013,Aragón,male,90th_percentile,43037.17
2012,Aragón,male,90th_percentile,43906.88
2011,Aragón,male,90th_percentile,41521.89
2010,Aragón,male,90th_percentile,42564.3
2009,Aragón,male,90th_percentile,41492.38
2008,Aragón,male,90th_percentile,39380.62
2017,"Asturias, Principado de",both,mean,23609.67
2016,"Asturias, Principado de",both,mean,23095.83
2015,"Asturias, Principado de",both,mean,22826.06
2014,"Asturias, Principado de",both,mean,22045.29
2013,"Asturias, Principado de",both,mean,21994.99
2012,"Asturias, Principado de",both,mean,21750.66
2011,"Asturias, Principado de",both,mean,22286.48
2010,"Asturias, Principado de",both,mean,22241.39
2009,"Asturias, Principado de",both,mean,22597.97
2008,"Asturias, Principado de",both,mean,21805.67
2017,"Asturias, Principado de",both,10th_percentile,8504.22
2016,"Asturias, Principado de",both,10th_percentile,7591.08
2015,"Asturias, Principado de",both,10th_percentile,7591.08
2014,"Asturias, Principado de",both,10th_percentile,7226.86
2013,"Asturias, Principado de",both,10th_percentile,7226.9
2012,"Asturias, Principado de",both,10th_percentile,7538.76
2011,"Asturias, Principado de",both,10th_percentile,8429.6
2010,"Asturias, Principado de",both,10th_percentile,8783.94
2009,"Asturias, Principado de",both,10th_percentile,8547.94
2008,"Asturias, Principado de",both,10th_percentile,8634.04
2017,"Asturias, Principado de",both,lower_quartile,13482.98
2016,"Asturias, Principado de",both,lower_quartile,12923.35
2015,"Asturias, Principado de",both,lower_quartile,13042.22
2014,"Asturias, Principado de",both,lower_quartile,12813.0
2013,"Asturias, Principado de",both,lower_quartile,12401.25
2012,"Asturias, Principado de",both,lower_quartile,12918.05
2011,"Asturias, Principado de",both,lower_quartile,13658.6
2010,"Asturias, Principado de",both,lower_quartile,13651.02
2009,"Asturias, Principado de",both,lower_quartile,13687.68
2008,"Asturias, Principado de",both,lower_quartile,13335.75
2017,"Asturias, Principado de",both,median,20174.85
2016,"Asturias, Principado de",both,median,20081.25
2015,"Asturias, Principado de",both,median,19959.74
2014,"Asturias, Principado de",both,median,19212.77
2013,"Asturias, Principado de",both,median,19057.38
2012,"Asturias, Principado de",both,median,18784.7
2011,"Asturias, Principado de",both,median,19276.74
2010,"Asturias, Principado de",both,median,19055.8
2009,"Asturias, Principado de",both,median,19202.33
2008,"Asturias, Principado de",both,median,18697.53
2017,"Asturias, Principado de",both,upper_quartile,30079.2
2016,"Asturias, Principado de",both,upper_quartile,29429.86
2015,"Asturias, Principado de",both,upper_quartile,29058.0
2014,"Asturias, Principado de",both,upper_quartile,28363.24
2013,"Asturias, Principado de",both,upper_quartile,28486.67
2012,"Asturias, Principado de",both,upper_quartile,27220.1
2011,"Asturias, Principado de",both,upper_quartile,27940.97
2010,"Asturias, Principado de",both,upper_quartile,28121.34
2009,"Asturias, Principado de",both,upper_quartile,28041.4
2008,"Asturias, Principado de",both,upper_quartile,27084.62
2017,"Asturias, Principado de",both,90th_percentile,42452.9
2016,"Asturias, Principado de",both,90th_percentile,41032.42
2015,"Asturias, Principado de",both,90th_percentile,41847.13
2014,"Asturias, Principado de",both,90th_percentile,39870.62
2013,"Asturias, Principado de",both,90th_percentile,39599.5
2012,"Asturias, Principado de",both,90th_percentile,38796.83
2011,"Asturias, Principado de",both,90th_percentile,38802.84
2010,"Asturias, Principado de",both,90th_percentile,38782.2
2009,"Asturias, Principado de",both,90th_percentile,39907.69
2008,"Asturias, Principado de",both,90th_percentile,38359.61
2017,"Asturias, Principado de",female,mean,19426.48
2016,"Asturias, Principado de",female,mean,19077.92
2015,"Asturias, Principado de",female,mean,18925.34
2014,"Asturias, Principado de",female,mean,18400.68
2013,"Asturias, Principado de",female,mean,18455.34
2012,"Asturias, Principado de",female,mean,18026.01
2011,"Asturias, Principado de",female,mean,18721.59
2010,"Asturias, Principado de",female,mean,18786.13
2009,"Asturias, Principado de",female,mean,19289.76
2008,"Asturias, Principado de",female,mean,18452.09
2017,"Asturias, Principado de",female,10th_percentile,6810.94
2016,"Asturias, Principado de",female,10th_percentile,6218.32
2015,"Asturias, Principado de",female,10th_percentile,6410.24
2014,"Asturias, Principado de",female,10th_percentile,6322.88
2013,"Asturias, Principado de",female,10th_percentile,6179.97
2012,"Asturias, Principado de",female,10th_percentile,6518.05
2011,"Asturias, Principado de",female,10th_percentile,7326.72
2010,"Asturias, Principado de",female,10th_percentile,7330.34
2009,"Asturias, Principado de",female,10th_percentile,7337.43
2008,"Asturias, Principado de",female,10th_percentile,7169.76
2017,"Asturias, Principado de",female,lower_quartile,11309.49
2016,"Asturias, Principado de",female,lower_quartile,10772.84
2015,"Asturias, Principado de",female,lower_quartile,10689.35
2014,"Asturias, Principado de",female,lower_quartile,10754.7
2013,"Asturias, Principado de",female,lower_quartile,10196.44
2012,"Asturias, Principado de",female,lower_quartile,10689.15
2011,"Asturias, Principado de",female,lower_quartile,11635.41
2010,"Asturias, Principado de",female,lower_quartile,11465.37
2009,"Asturias, Principado de",female,lower_quartile,11366.85
2008,"Asturias, Principado de",female,lower_quartile,10925.78
2017,"Asturias, Principado de",female,median,15795.6
2016,"Asturias, Principado de",female,median,15912.63
2015,"Asturias, Principado de",female,median,15594.05
2014,"Asturias, Principado de",female,median,15954.87
2013,"Asturias, Principado de",female,median,15431.98
2012,"Asturias, Principado de",female,median,15474.56
2011,"Asturias, Principado de",female,median,15478.73
2010,"Asturias, Principado de",female,median,15362.12
2009,"Asturias, Principado de",female,median,15857.5
2008,"Asturias, Principado de",female,median,15419.78
2017,"Asturias, Principado de",female,upper_quartile,24169.15
2016,"Asturias, Principado de",female,upper_quartile,24339.88
2015,"Asturias, Principado de",female,upper_quartile,23965.28
